id	cat	full_name	bio_desc
MCV	cbc	Mean Corpuscular Volume (MCV)	"Measures the average size of red blood cells. Used to classify types of anemia and assess bone marrow function. Abnormal values can indicate vitamin B12/folate deficiency, iron deficiency, or chronic disease."
Smoke_Pack_Yrs	basic	Smoking History (Pack-Years)	"Cumulative measure of cigarette smoking exposure (packs per day × years smoked). Higher values indicate greater risk for lung cancer, COPD, and cardiovascular disease."
acy1	prot	ACY1	"Aminoacylase 1, an enzyme involved in amino acid metabolism, primarily in the liver and kidney. Important for breaking down certain peptides."
alp	cmp	Alkaline Phosphatase (ALP)	"Enzyme found in liver, bile ducts, and bone. Elevated ALP can signal liver or bone disease; low levels are less common but may occur in rare genetic disorders."
alpp	prot	ALPP	"Placental-type alkaline phosphatase, a protein mainly produced in the placenta. Outside pregnancy, elevated levels may be seen in some cancers."
alt	cmp	Alanine Aminotransferase (ALT)	"Liver enzyme involved in amino acid metabolism. High ALT suggests liver cell injury from hepatitis, fatty liver, or toxins."
apob	lipid	Apolipoprotein B (ApoB)	"Main protein of LDL cholesterol particles. High ApoB means more LDL particles, increasing risk for atherosclerosis and heart disease."
apoe	prot	APOE	"Apolipoprotein E, a protein involved in cholesterol transport and metabolism. Certain genetic variants increase risk for Alzheimer's and cardiovascular disease."
ast	cmp	Aspartate Aminotransferase (AST)	"Enzyme in liver, heart, and muscle. Elevated AST can indicate liver damage, muscle injury, or heart problems."
ast_alt_ratio	cmp	AST/ALT Ratio	"Ratio of two liver enzymes. Helps distinguish between different types of liver disease, such as alcoholic vs. non-alcoholic liver injury."
bcaas	meta	Branched-Chain Amino Acids (BCAAs)	"Essential amino acids (leucine, isoleucine, valine) important for muscle metabolism. Elevated BCAAs are linked to insulin resistance and metabolic disorders."
beef_intake	life	Beef Consumption	Self-reported frequency of eating beef. High intake is associated with increased risk of heart disease and certain cancers.
beer_cider_intake	life	Beer/Cider Consumption	"Self-reported frequency of drinking beer or cider. Alcohol intake affects liver, heart, and cancer risk."
bmi	basic	Body Mass Index (BMI)	"Weight-to-height ratio (kg/m²). Used to classify underweight, normal weight, overweight, or obesity. High BMI is linked to diabetes, heart disease, and some cancers."
body_fat_percentage	basic	Body Fat Percentage	"Proportion of body weight that is fat tissue. High body fat increases risk for metabolic syndrome, diabetes, and cardiovascular disease."
calcium_supplement	nutra	Calcium Supplement	"Provides calcium, essential for bone health, muscle contraction, and nerve function. Used to prevent osteoporosis and support bone strength."
champagne_white_wine_intake	life	Champagne/White Wine Consumption	Self-reported intake of champagne or white wine. Moderate consumption may have some heart benefits; excess increases risk for liver disease and cancer.
cheese_intake	life	Cheese Consumption	Frequency of cheese intake. Cheese is rich in protein and calcium but can be high in saturated fat and salt.
creatinine	meta	Creatinine	"Waste product from muscle metabolism, filtered by kidneys. Blood levels assess kidney function; high levels may indicate kidney dysfunction."
crp	adv	C-Reactive Protein (CRP)	Protein produced by the liver in response to inflammation. High CRP signals acute or chronic inflammation and is a risk marker for heart disease.
cxcl17	prot	CXCL17	Chemokine protein involved in immune cell recruitment and mucosal immunity. Its precise disease role is under study.
cystatin_C	adv	Cystatin C	"Protein produced by all nucleated cells, filtered by kidneys. Sensitive marker of kidney function, often more reliable than creatinine."
eda2r	prot	EDA2R	"Ectodysplasin A2 receptor, a protein involved in cell signaling and development."
efna4	prot	EFNA4	"Ephrin-A4, a protein involved in cell signaling, especially in nervous system development."
eosinophils	cbc	Eosinophil Count	"Type of white blood cell involved in allergic reactions and fighting parasites. High counts may indicate allergies, asthma, or parasitic infection."
evening_primrose_oil	nutra	Evening Primrose Oil	"Supplement containing gamma-linolenic acid (GLA), an omega-6 fatty acid. Used for skin health, PMS, and inflammation, though evidence is mixed."
fish_oil_supplement	nutra	Fish Oil (Omega-3) Supplement	"Provides omega-3 fatty acids (EPA, DHA) for heart, brain, and eye health. May reduce triglycerides and inflammation."
folic_acid_supplement	nutra	Folic Acid Supplement	"Provides vitamin B9, essential for DNA synthesis and cell division. Important in pregnancy to prevent birth defects; supports heart health."
garlic_supplement	nutra	Garlic Supplement	"Contains compounds like allicin. Used for cardiovascular health, blood pressure control, and immune support. May have mild cholesterol-lowering effects."
gdf15	prot	GDF15	"Growth Differentiation Factor 15, a protein regulating inflammation and cellular stress. Elevated in cancer, heart disease, and metabolic disorders."
gfap	prot	GFAP	"Glial Fibrillary Acidic Protein, found in brain and spinal cord. Marker for brain injury and neurological disease."
ggt	adv	Gamma-Glutamyl Transferase (GGT)	"Enzyme involved in liver function and bile production. High GGT can indicate liver disease, bile duct problems, or alcohol use."
glucosamine_supplement	nutra	Glucosamine Supplement	Supports joint health and may reduce osteoarthritis symptoms. Involved in cartilage formation and repair.
glucose	cmp	Blood Glucose	"Measures blood sugar level. Used to diagnose and monitor diabetes. Regulated by insulin, produced/processed by pancreas and liver."
glutamine	meta	Glutamine	"Amino acid important for immune function, gut health, and muscle recovery. Used as a supplement in clinical and athletic settings."
glycine	meta	Glycine	"Non-essential amino acid involved in protein synthesis, neurotransmission, and as a precursor for other biomolecules."
grip_strength	basic	Hand Grip Strength	"Assesses muscular strength using a hand dynamometer. Lower grip strength is linked to higher risk of disability, frailty, and mortality."
hdl	lipid	HDL Cholesterol	Good cholesterol that helps remove excess cholesterol from blood. High HDL is protective against heart disease.
hematocrit	cbc	Hematocrit	Percentage of blood volume made up by red blood cells. Low values suggest anemia; high values may indicate dehydration or polycythemia.
hemoglobin	cbc	Hemoglobin	Protein in red blood cells that carries oxygen. Low hemoglobin indicates anemia; high levels may occur in certain diseases.
hemoglobin_a1c	cmp	Hemoglobin A1c (HbA1c)	Reflects average blood glucose over 2–3 months. Used to diagnose and monitor diabetes.
histidine	meta	Histidine	"Essential amino acid involved in growth, tissue repair, and production of histamine, an immune mediator."
igf1	prot	IGF1	"Insulin-like Growth Factor 1, a hormone produced mainly in the liver. Promotes growth in childhood and has anabolic effects in adults."
igfbp4	prot	IGFBP4	"Insulin-like Growth Factor Binding Protein 4, regulates IGF1 and IGF2 activity, modulating growth and metabolism."
igsf3	prot	IGSF3	"Immunoglobulin Superfamily Member 3, involved in cell adhesion and immune response."
igsf9	prot	IGSF9	"Immunoglobulin Superfamily Member 9, involved in cell-cell interactions, especially in the nervous system."
iron_supplement	nutra	Iron Supplement	"Provides iron, necessary for making hemoglobin and supporting oxygen transport in blood. Used to treat or prevent iron-deficiency anemia."
krt18	prot	KRT18	"Keratin 18, a structural protein in epithelial cells. Marker of cell death in liver disease and some cancers."
lar	lipid	LDL-to-ApoB Ratio	Ratio of LDL cholesterol to apolipoprotein B. Helps assess number and size of LDL particles for cardiovascular risk.
ldl	lipid	LDL Cholesterol	"Bad cholesterol that can build up in arteries, increasing risk for heart disease and stroke."
leucine	meta	Leucine	"Essential branched-chain amino acid important for protein synthesis, muscle repair, and energy production."
lpa	adv	Lipoprotein(a)	Lipoprotein particle similar to LDL with an added protein. High levels are a genetic risk factor for cardiovascular disease.
lymphocyte_percentage	cbc	Lymphocyte Percentage	"Proportion of white blood cells that are lymphocytes, key to immune defense. Abnormal values may indicate infection, immune disorders, or blood cancers."
lymphocytes	cbc	Lymphocyte Count	"Absolute number of lymphocytes in blood, reflecting immune system activity."
monocytes	cbc	Monocyte Count	White blood cell type involved in immune defense and inflammation. High counts can indicate infection or chronic inflammation.
monounsaturated_fatty_acids	meta	Monounsaturated Fatty Acids	"Healthy fats found in olive oil, nuts, and avocados. Support heart health by improving cholesterol and reducing inflammation."
multivitamins_supplement	nutra	Multivitamin Supplement	Contains a blend of essential vitamins and minerals. Used to prevent or address nutritional deficiencies and support general health.
nefl	prot	NEFL	"Neurofilament Light Chain, a protein in nerve cells. Marker for nerve damage or neurodegenerative disease."
neutrophils	cbc	Neutrophil Count	"Most abundant white blood cell type, crucial for fighting bacterial infections. High counts suggest infection or inflammation."
